Subject,Proportion_1s,Proportion_2s,Shannon_Entropy,RunsTest_p,ACF_Lag1,ACF_Lag2,ACF_Lag3,ACF_Lag4,ACF_Lag5,ACF_Lag6,ACF_Lag7,ACF_Lag8,ACF_Lag9,ACF_Lag10
sub-063,0.49166666666666664,0.5083333333333333,0.999799616411146,0.4613371544538877,-0.07557886449939791,-0.13393072149671195,0.09140733537093636,-0.15060664999536902,-0.15922246920440852,0.04916643512086692,0.007763730665925755,-0.0172455311660646,0.1578007779938872,0.13279151616189683
sub-064,0.5083333333333333,0.4916666666666667,0.999799616411146,0.2002898486305963,0.10808326386959338,-0.05029637862369174,0.1750416782439566,-0.016680559414652203,-0.10837501157728995,0.03332870241733818,-0.07531490228767246,-0.050588126331388296,-0.025861350375104144,-0.20119014541076213
sub-065,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.9902366979491976,-0.010020393029291818,-0.16853911753800518,0.05725806451612905,-0.01839080459770114,-0.11016870596959587,-0.15133481646273642,-0.0256488691138302,0.10003707823507603,0.008259176863181306,0.01659251019651467
sub-066,0.5583333333333333,0.44166666666666665,0.9901592635041825,0.8793315781899387,-0.02433352107387591,-0.09851215620013144,-0.12397212052942837,-0.10071341406176666,0.07658640758471788,0.08491974091805123,-0.026994743264808052,0.1503050783816765,0.07612644325542098,-0.03184548953346477
sub-067,0.5416666666666666,0.45833333333333337,0.99498482818597,0.7700224812402704,0.019522144522144527,-0.005710955710955729,0.11870629370629372,-0.10792540792540796,0.10180652680652684,0.009440559440559439,-0.09831002331002334,0.06247086247086249,-0.09702797202797206,-0.07331002331002334
sub-068,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.014551863312454416,-0.2305059523809524,0.09479166666666664,-0.012946428571428598,0.028869047619047593,-0.09672619047619054,0.04553571428571425,0.0025297619047618485,-0.08958333333333339,-0.029910714285714332,-0.05505952380952386
sub-069,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.6146813058503109,0.03735119047619042,-0.021279761904761954,0.08750000000000001,0.02886904761904756,0.0706845238095238,-0.07053571428571433,0.0226190476190476,0.13139880952380947,-0.00982142857142859,0.01636904761904761
sub-070,0.4583333333333333,0.5416666666666667,0.99498482818597,0.39740589857776754,0.06847319347319344,-0.0238927738927739,0.036188811188811176,-0.08974358974358976,0.003904428904428921,0.1465034965034965,-0.2143939393939394,-0.07179487179487178,0.0036713286713286495,-0.32365967365967374
sub-071,0.45,0.55,0.9927744539878083,0.3942227248948975,-0.08425925925925927,-0.008585858585858567,-0.04907407407407406,-0.00707070707070705,-0.06607744107744108,-0.0914141414141414,0.03308080808080813,-0.044444444444444446,0.03122895622895624,-0.009259259259259231
sub-072,0.4166666666666667,0.5833333333333333,0.9798687566511528,0.2851124280274012,-0.1030952380952381,-0.04619047619047622,-0.0378571428571429,0.004761904761904729,-0.05547619047619051,0.007142857142857094,-0.03309523809523814,0.043809523809523805,-0.06500000000000004,-0.07666666666666672
sub-073,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.7044350388994907,-0.04339080459770113,-0.05118650352243232,-0.05898220244716352,0.11620318872821658,0.05779569892473121,-0.13409343715239158,-0.19250092695587695,-0.033444568038561356,0.07500000000000007,0.13283277715980726
sub-074,0.5333333333333333,0.4666666666666667,0.9967916319816367,0.3320611001241254,-0.09657738095238101,-0.0034226190476190745,0.022767857142857093,-0.13630952380952388,0.005952380952380923,0.04776785714285713,-0.11130952380952386,-0.16994047619047625,0.10625000000000001,-0.052827380952381
sub-075,0.55,0.44999999999999996,0.9927744539878083,0.31723518623660485,0.08072390572390577,-0.18030303030303024,-0.0036195286195286067,0.038383838383838395,0.09553872053872059,-0.16548821548821546,0.0448653198653199,0.13569023569023575,0.009343434343434353,-0.0648148148148148
